task,caseid,user,Activity_1,Resource_1,creator,variant,variant_index,end_timestamp,start_timestamp
Deliver Goods Services,1141,Sean Manney,Deliver Goods Services,Sean Manney,Fluxicon Disco,Variant 15,15,2011-08-22T17:07:00.000,2011-08-21T23:21:00.000
Release Purchase Order,1141,Esmana Liubiata,Release Purchase Order,Esmana Liubiata,Fluxicon Disco,Variant 15,15,2011-08-23T01:01:00.000,2011-08-23T01:00:00.000
Approve Purchase Order for payment,1141,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Fluxicon Disco,Variant 15,15,2011-08-23T22:05:00.000,2011-08-23T22:04:00.000
Send Invoice,1141,Esmeralda Clay,Send Invoice,Esmeralda Clay,Fluxicon Disco,Variant 15,15,2011-08-30T06:17:00.000,2011-08-30T06:17:00.000
Release Supplier's Invoice,1141,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Fluxicon Disco,Variant 15,15,2011-08-30T20:48:00.000,2011-08-30T20:42:00.000
Authorize Supplier's Invoice payment,1141,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Fluxicon Disco,Variant 15,15,2011-08-30T20:48:00.000,2011-08-30T20:48:00.000
Pay Invoice,1141,Pedro Alvares,Pay Invoice,Pedro Alvares,Fluxicon Disco,Variant 15,15,2011-08-30T21:18:00.000,2011-08-30T21:09:00.000
Create Purchase Requisition,1144,Esmana Liubiata,Create Purchase Requisition,Esmana Liubiata,Fluxicon Disco,Variant 5,5,2011-06-16T08:03:00.000,2011-06-16T07:39:00.000
Create Request for Quotation,1144,Kim Passa,Create Request for Quotation,Kim Passa,Fluxicon Disco,Variant 5,5,2011-06-16T09:09:00.000,2011-06-16T08:58:00.000
Analyze Request for Quotation,1144,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Fluxicon Disco,Variant 5,5,2011-06-28T23:48:00.000,2011-06-28T23:28:00.000
Create Purchase Requisition,1146,Christian Francois,Create Purchase Requisition,Christian Francois,Fluxicon Disco,Variant 2,2,2011-06-16T14:56:00.000,2011-06-16T14:19:00.000
Create Request for Quotation,1146,Miu Hanwan,Create Request for Quotation,Miu Hanwan,Fluxicon Disco,Variant 2,2,2011-06-16T20:33:00.000,2011-06-16T20:23:00.000
Analyze Request for Quotation,1146,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Fluxicon Disco,Variant 2,2,2011-06-21T23:57:00.000,2011-06-21T23:36:00.000
Send Request for Quotation to Supplier,1146,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Fluxicon Disco,Variant 2,2,2011-06-22T05:16:00.000,2011-06-22T04:41:00.000
Create Quotation comparison Map,1146,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Fluxicon Disco,Variant 2,2,2011-06-22T07:40:00.000,2011-06-22T05:45:00.000
Analyze Quotation Comparison Map,1146,Anne Olwada,Analyze Quotation Comparison Map,Anne Olwada,Fluxicon Disco,Variant 2,2,2011-06-22T14:27:00.000,2011-06-22T13:55:00.000
Choose best option,1146,Immanuel Karagianni,Choose best option,Immanuel Karagianni,Fluxicon Disco,Variant 2,2,2011-06-22T14:27:00.000,2011-06-22T14:27:00.000
Settle Conditions With Supplier,1146,Francois de Perrier,Settle Conditions With Supplier,Francois de Perrier,Fluxicon Disco,Variant 2,2,2011-06-23T02:24:00.000,2011-06-22T20:19:00.000
Create Purchase Order,1146,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Fluxicon Disco,Variant 2,2,2011-06-23T08:21:00.000,2011-06-23T08:09:00.000
Confirm Purchase Order,1146,Sean Manney,Confirm Purchase Order,Sean Manney,Fluxicon Disco,Variant 2,2,2011-06-24T13:42:00.000,2011-06-24T13:10:00.000
